0.76,1,0.76,2,-2.4,-6.6,-27,14.716,20.469,75.555,-56.188,168.01,-36.269,-8.6954,3.2886,-21.593,1,1
0.78,1,0.78,2,-2.4,-6.6,-27,14.668,20.337,75.015,-56.362,168.08,-36.7,-8.7223,3.2723,-21.55,1,1
0.8,1,0.8,2,-2.4,-6.6,-27,14.62,20.205,74.475,-56.537,168.14,-37.131,-8.7497,3.2557,-21.506,1,1
0.82,1,0.82,2,-2.4,-6.6,-27,14.572,20.073,73.935,-56.712,168.21,-37.56,-8.7776,3.2391,-21.461,1,1
0.84,1,0.84,2,-2.4,-6.6,-27,14.524,19.941,73.395,-56.888,168.27,-37.989,-8.8061,3.2223,-21.416,1,1
0.86,1,0.86,2,-2.4,-6.6,-27,14.476,19.809,72.855,-57.064,168.34,-38.417,-8.835,3.2054,-21.37,1,1
0.88,1,0.88,2,-2.4,-6.6,-27,14.428,19.677,72.315,-57.241,168.4,-38.844,-8.8646,3.1883,-21.324,1,1
0.9,1,0.9,2,-2.4,-6.6,-27,14.38,19.545,71.775,-57.419,168.46,-39.27,-8.8947,3.1712,-21.276,1,1
0.92,1,0.92,2,-2.4,-6.6,-27,14.332,19.413,71.235,-57.597,168.53,-39.695,-8.9253,3.1538,-21.229,1,1
0.94,1,0.94,2,-2.4,-6.6,-27,14.284,19.281,70.695,-57.776,168.59,-40.119,-8.9566,3.1364,-21.18,1,1
0.96,1,0.96,2,-2.4,-6.6,-27,14.236,19.149,70.155,-57.955,168.65,-40.542,-8.9884,3.1188,-21.13,1,1
0.98,1,0.98,2,-2.4,-6.6,-27,14.188,19.017,69.615,-58.135,168.71,-40.964,-9.0207,3.101,-21.08,1,1
1,1,1,2,-2.4,-6.6,-27,14.14,18.885,69.075,-58.316,168.78,-41.385,-9.0537,3.0832,-21.029,1,1
1.02,1,1.02,2,-2.4,-6.6,-27,14.092,18.753,68.535,-58.498,168.84,-41.805,-9.0873,3.0651,-20.978,1,1
1.04,1,1.04,2,-2.4,-6.6,-27,14.044,18.621,67.995,-58.68,168.9,-42.224,-9.1215,3.047,-20.926,1,1
1.06,1,1.06,2,-2.4,-6.6,-27,13.996,18.489,67.455,-58.862,168.96,-42.642,-9.1562,3.0287,-20.872,1,1
1.08,1,1.08,2,-2.4,-6.6,-27,13.948,18.357,66.915,-59.046,169.02,-43.059,-9.1917,3.0103,-20.819,1,1
1.1,1,1.1,2,-2.4,-6.6,-27,13.9,18.225,66.375,-59.23,169.08,-43.475,-9.2277,2.9917,-20.764,1,1
1.12,1,1.12,2,-2.4,-6.6,-27,13.852,18.093,65.835,-59.415,169.14,-43.89,-9.2644,2.973,-20.709,1,1
1.14,1,1.14,2,-2.4,-6.6,-27,13.804,17.961,65.295,-59.601,169.2,-44.303,-9.3017,2.9541,-20.652,1,1
1.16,1,1.16,2,-2.4,-6.6,-27,13.756,17.829,64.755,-59.787,169.26,-44.716,-9.3396,2.9351,-20.595,1,1
1.18,1,1.18,2,-2.4,-6.6,-27,13.708,17.697,64.215,-59.974,169.32,-45.127,-9.3783,2.9159,-20.538,1,1
1.2,1,1.2,2,-2.4,-6.6,-27,13.66,17.565,63.675,-60.162,169.37,-45.537,-9.4175,2.8966,-20.479,1,1
1.22,1,1.22,2,-2.4,-6.6,-27,13.612,17.433,63.135,-60.351,169.43,-45.946,-9.4575,2.8772,-20.42,1,1
1.24,1,1.24,2,-2.4,-6.6,-27,13.564,17.301,62.595,-60.541,169.49,-46.354,-9.4981,2.8576,-20.36,1,1
1.26,1,1.26,2,-2.4,-6.6,-27,13.516,17.169,62.055,-60.731,169.55,-46.761,-9.5394,2.8379,-20.299,1,1
1.28,1,1.28,2,-2.4,-6.6,-27,13.468,17.037,61.515,-60.922,169.6,-47.166,-9.5813,2.818,-20.237,1,1
1.3,1,1.3,2,-2.4,-6.6,-27,13.42,16.905,60.975,-61.114,169.66,-47.57,-9.624,2.798,-20.174,1,1
1.32,1,1.32,2,-2.4,-6.6,-27,13.372,16.773,60.435,-61.307,169.72,-47.973,-9.6674,2.7778,-20.11,1,1
1.34,1,1.34,2,-2.4,-6.6,-27,13.324,16.641,59.895,-61.501,169.77,-48.375,-9.7114,2.7575,-20.046,1,1
1.36,1,1.36,2,-2.4,-6.6,-27,13.276,16.509,59.355,-61.696,169.83,-48.775,-9.7562,2.737,-19.981,1,1
1.38,1,1.38,2,-2.4,-6.6,-27,13.228,16.377,58.815,-61.891,169.88,-49.174,-9.8017,2.7163,-19.915,1,1
